CustomerID,Age,Gender,City,SubscriptionType,MonthlySpending,Tenure,NumberOfPurchases,CustomerSupportRequests,LoginFrequency,LastActivityDate,SatisfactionScore,PaymentMethod,DeviceType,AutoRenew,ChurnStatus
CUST1000,56,Female,Faisalabad,Basic,25.59,21,30,10,10.0,2026-06-19,5.0,JazzCash,Web,Yes,No
CUST1001,41,Female,Multan,Basic,13.64,21,30,0,11.0,2026-04-23,2.0,EasyPaisa,Android,Yes,No
CUST1002,59,Female,Rawalpindi,Premium,88.62,47,63,3,24.0,2026-04-09,3.0,EasyPaisa,Web,Yes,No
CUST1003,56,Female,Rawalpindi,Premium,115.06,58,94,8,25.0,2025-12-31,5.0,Debit Card,Web,Yes,No
CUST1004,25,Male,Islamabad,Premium,90.7,40,57,5,9.0,2026-05-08,4.0,EasyPaisa,Web,No,No
CUST1005,51,Female,Multan,Premium,128.18,15,30,7,13.0,2026-03-31,4.0,Credit Card,iPhone,Yes,No
CUST1006,64,Male,Quetta,Basic,15.62,60,85,0,24.0,2026-04-01,1.0,Credit Card,Web,No,No
CUST1007,25,Male,Islamabad,Standard,32.96,39,53,9,8.0,2026-01-21,4.0,Credit Card,iPhone,Yes,No
CUST1008,41,Male,Islamabad,Standard,40.99,35,47,2,0.0,2026-03-10,5.0,Debit Card,Web,No,No
CUST1009,44,Male,Peshawar,Basic,10.51,13,19,2,30.0,2026-01-21,1.0,JazzCash,Android,Yes,No
CUST1010,56,Male,Peshawar,Standard,39.15,32,56,1,9.0,2026-05-24,5.0,Credit Card,Android,No,No
CUST1011,61,Female,Rawalpindi,Premium,113.15,58,91,6,27.0,2026-02-20,1.0,Credit Card,Android,Yes,No
CUST1012,30,Male,Islamabad,Basic,20.21,9,23,9,11.0,2026-04-30,3.0,Credit Card,Android,Yes,No
CUST1013,29,Female,Peshawar,Basic,16.02,49,72,7,16.0,2026-04-28,3.0,Credit Card,iPhone,Yes,No
CUST1014,40,Male,Quetta,Premium,89.16,2,1,5,22.0,2026-05-14,4.0,Bank Transfer,Web,Yes,No
CUST1015,41,Male,Rawalpindi,Premium,101.91,48,79,0,8.0,2026-06-18,4.0,Bank Transfer,iPhone,Yes,No
CUST1016,37,Female,Islamabad,Basic,24.22,19,24,8,0.0,2025-12-25,2.0,Credit Card,Web,Yes,Yes
CUST1017,40,Male,Multan,Standard,39.14,16,22,9,15.0,2026-05-04,1.0,JazzCash,Android,Yes,Yes
CUST1018,29,Male,Faisalabad,Premium,85.1,41,67,2,19.0,2026-01-08,1.0,JazzCash,Web,No,No
CUST1019,55,Female,Rawalpindi,Standard,44.89,25,33,2,24.0,2026-04-28,5.0,Debit Card,iPhone,Yes,No
CUST1020,52,Female,Faisalabad,Basic,24.24,33,42,7,7.0,2026-02-26,3.0,Credit Card,Android,Yes,No
CUST1021,39,Male,Multan,Basic,29.46,45,67,2,21.0,2026-03-16,3.0,Bank Transfer,iPhone,Yes,No
CUST1022,45,Male,Quetta,Premium,88.41,48,66,4,5.0,2026-03-20,3.0,JazzCash,Android,No,No
CUST1023,63,Male,Peshawar,Premium,138.24,21,33,6,0.0,2026-04-28,3.0,Debit Card,Android,Yes,No
CUST1024,20,Female,Multan,Basic,22.3,22,26,9,1.0,2025-12-27,2.0,Credit Card,Android,Yes,Yes
CUST1025,56,Male,Karachi,Standard,62.4,25,33,7,12.0,2025-12-30,4.0,Debit Card,Web,Yes,No
CUST1026,37,Male,Quetta,Standard,61.83,12,10,5,18.0,2026-01-22,1.0,Debit Card,Web,No,No
CUST1027,39,Male,Rawalpindi,Basic,16.07,43,74,4,0.0,2026-06-15,5.0,JazzCash,Android,Yes,No
CUST1028,62,Female,Rawalpindi,Basic,23.99,40,49,0,23.0,2026-02-24,3.0,JazzCash,iPhone,Yes,No
CUST1029,40,Male,Lahore,Standard,,58,87,0,,2026-06-05,,Credit Card,Android,Yes,No
CUST1030,56,Female,Peshawar,Basic,24.6,3,1,4,21.0,2026-05-05,1.0,EasyPaisa,iPhone,Yes,Yes
CUST1031,47,Female,Multan,Standard,48.97,26,32,9,15.0,2026-03-12,5.0,JazzCash,Android,Yes,No
CUST1032,40,Female,Karachi,Premium,140.93,52,85,9,0.0,2026-02-13,5.0,EasyPaisa,Web,No,No
CUST1033,49,Male,Rawalpindi,Standard,45.53,60,82,0,0.0,2026-04-15,5.0,Bank Transfer,Web,No,No
CUST1034,18,Male,Quetta,Premium,85.66,13,16,2,17.0,2026-01-18,3.0,Credit Card,iPhone,Yes,No
CUST1035,27,Female,Multan,Standard,41.27,4,1,9,20.0,2026-01-08,2.0,EasyPaisa,Web,No,Yes
CUST1036,42,Male,Faisalabad,Basic,13.55,9,22,2,15.0,2026-01-20,4.0,Debit Card,Android,No,No
CUST1037,40,Female,Quetta,Premium,104.32,13,27,6,24.0,2026-04-20,3.0,Credit Card,iPhone,No,No
CUST1038,37,Female,Lahore,Basic,27.91,49,71,3,18.0,2026-05-27,2.0,EasyPaisa,Android,Yes,No
CUST1039,38,Female,Faisalabad,Standard,61.58,45,72,4,9.0,2026-04-07,2.0,Debit Card,Android,No,No
CUST1040,35,Male,Rawalpindi,Standard,63.48,17,23,1,26.0,2026-01-06,2.0,Debit Card,Android,Yes,No
CUST1041,36,Female,Quetta,Premium,140.43,17,26,6,24.0,2026-06-02,5.0,JazzCash,iPhone,No,No
CUST1042,61,Female,Peshawar,Basic,28.13,39,50,1,27.0,2026-01-05,2.0,JazzCash,Android,No,No
CUST1043,18,Male,Faisalabad,Basic,18.0,60,87,0,24.0,2025-12-30,1.0,EasyPaisa,iPhone,No,No
CUST1044,49,Male,Faisalabad,Basic,10.87,21,33,1,14.0,2026-06-20,1.0,Credit Card,iPhone,Yes,No
CUST1045,20,Female,Peshawar,Basic,15.62,32,48,7,5.0,2026-03-21,4.0,JazzCash,Android,Yes,No
CUST1046,53,Female,Quetta,Basic,21.67,28,35,10,21.0,2026-01-15,1.0,Credit Card,Android,Yes,No
CUST1047,30,Female,Islamabad,Standard,67.99,5,3,8,1.0,2026-02-22,2.0,Debit Card,Web,Yes,Yes
CUST1048,50,Female,Lahore,Basic,29.71,11,7,5,26.0,2026-03-08,3.0,Credit Card,Android,Yes,No
CUST1049,52,Male,Lahore,Basic,11.51,28,48,0,4.0,2026-04-29,5.0,Bank Transfer,Android,Yes,No
CUST1050,54,Female,Karachi,Basic,14.82,9,6,0,7.0,2026-01-18,2.0,JazzCash,Web,Yes,Yes
CUST1051,51,Female,Multan,Standard,42.31,1,4,5,11.0,2026-05-05,5.0,Bank Transfer,Android,Yes,No
CUST1052,40,Male,Faisalabad,Standard,58.16,51,77,1,5.0,2026-03-22,2.0,Debit Card,iPhone,Yes,No
CUST1053,51,Female,Lahore,Standard,61.35,60,94,6,9.0,2026-02-03,3.0,Credit Card,Android,No,No
CUST1054,34,Female,Lahore,Basic,19.18,34,43,10,10.0,2026-04-02,3.0,Bank Transfer,Web,Yes,No
CUST1055,48,Male,Multan,Standard,37.2,4,12,7,24.0,2025-12-25,3.0,Bank Transfer,Web,Yes,No
CUST1056,36,Male,Faisalabad,Basic,,22,25,1,,2026-05-05,,EasyPaisa,Web,Yes,No
CUST1057,39,Male,Quetta,Premium,143.67,17,24,9,3.0,2026-05-05,1.0,Credit Card,Web,Yes,Yes
CUST1058,39,Female,Karachi,Standard,51.25,2,7,6,13.0,2026-05-14,3.0,JazzCash,Android,No,Yes
CUST1059,52,Male,Peshawar,Basic,24.75,28,37,9,6.0,2026-02-15,1.0,Credit Card,Web,Yes,Yes
CUST1060,61,Male,Lahore,Basic,19.48,10,14,3,14.0,2026-03-12,2.0,Credit Card,Web,Yes,No
CUST1061,23,Female,Karachi,Standard,39.77,59,95,5,4.0,2026-04-12,1.0,Credit Card,Android,Yes,Yes
CUST1062,21,Female,Islamabad,Basic,26.12,24,23,3,23.0,2026-02-07,2.0,JazzCash,Web,No,No
CUST1063,47,Female,Multan,Standard,67.18,15,25,10,7.0,2026-04-12,2.0,Bank Transfer,Android,No,Yes
CUST1064,43,Female,Rawalpindi,Basic,20.15,49,82,5,4.0,2026-01-11,3.0,JazzCash,Android,Yes,No
CUST1065,23,Female,Quetta,Basic,,44,67,1,,2026-04-09,,JazzCash,Android,Yes,No
CUST1066,34,Male,Islamabad,Basic,22.12,35,55,1,13.0,2026-05-17,5.0,Bank Transfer,Android,Yes,No
CUST1067,18,Female,Quetta,Standard,63.67,8,10,10,8.0,2026-01-07,5.0,JazzCash,iPhone,No,No
CUST1068,22,Male,Islamabad,Standard,66.31,25,36,7,7.0,2026-04-19,3.0,EasyPaisa,iPhone,Yes,No
CUST1069,32,Male,Lahore,Basic,17.83,2,7,4,7.0,2026-02-06,3.0,Bank Transfer,iPhone,No,Yes
CUST1070,25,Female,Quetta,Basic,27.57,33,54,3,28.0,2026-05-19,1.0,Credit Card,Android,Yes,No
CUST1071,21,Female,Karachi,Standard,65.07,33,49,5,5.0,2026-06-06,5.0,JazzCash,Android,Yes,No
CUST1072,46,Female,Faisalabad,Basic,18.18,45,71,2,3.0,2026-01-24,4.0,Debit Card,Web,Yes,No
CUST1073,28,Female,Karachi,Basic,14.55,23,41,9,13.0,2026-03-02,3.0,JazzCash,iPhone,Yes,No
CUST1074,57,Female,Islamabad,Premium,115.21,4,12,9,8.0,2026-06-10,3.0,EasyPaisa,iPhone,No,No
CUST1075,40,Male,Multan,Basic,13.31,36,57,5,22.0,2026-02-26,1.0,Credit Card,Web,Yes,No
CUST1076,57,Male,Faisalabad,Basic,24.88,10,9,8,25.0,2026-01-10,3.0,Debit Card,Web,Yes,No
CUST1077,44,Male,Quetta,Basic,19.05,51,68,5,23.0,2026-01-11,1.0,JazzCash,iPhone,Yes,No
CUST1078,46,Male,Islamabad,Standard,30.52,21,33,8,16.0,2026-05-03,4.0,JazzCash,Web,No,No
CUST1079,24,Male,Quetta,Basic,25.0,59,88,7,18.0,2026-01-28,5.0,Credit Card,Android,Yes,No
CUST1080,57,Male,Karachi,Basic,24.28,50,61,1,29.0,2026-04-27,3.0,JazzCash,Android,Yes,No
CUST1081,56,Male,Quetta,Basic,27.95,34,56,0,22.0,2026-04-17,4.0,Debit Card,Web,Yes,No
CUST1082,20,Female,Peshawar,Standard,30.79,54,85,2,0.0,2026-04-04,4.0,Debit Card,Web,Yes,No
CUST1083,49,Female,Multan,Standard,45.89,37,46,5,20.0,2026-03-28,2.0,Debit Card,Web,No,No
CUST1084,36,Female,Faisalabad,Premium,121.43,18,20,1,2.0,2026-02-04,4.0,JazzCash,Android,Yes,No
CUST1085,51,Male,Rawalpindi,Basic,29.49,44,61,7,16.0,2026-02-27,2.0,Bank Transfer,iPhone,Yes,Yes
CUST1086,34,Female,Lahore,Standard,55.34,39,61,3,25.0,2026-05-15,2.0,EasyPaisa,Android,Yes,No
CUST1087,28,Female,Karachi,Standard,62.6,41,55,5,1.0,2026-04-06,1.0,EasyPaisa,Android,Yes,Yes
CUST1088,40,Male,Karachi,Basic,15.27,31,47,8,20.0,2026-02-19,2.0,EasyPaisa,Android,Yes,Yes
CUST1089,63,Female,Karachi,Basic,24.76,51,81,4,3.0,2026-05-12,3.0,Debit Card,Android,Yes,No
CUST1090,28,Female,Rawalpindi,Standard,41.88,35,51,7,21.0,2026-01-24,5.0,Credit Card,iPhone,Yes,No
CUST1091,36,Male,Rawalpindi,Basic,19.93,45,70,10,1.0,2026-05-12,1.0,Debit Card,iPhone,Yes,Yes
CUST1092,34,Male,Lahore,Standard,53.93,25,41,4,11.0,2026-06-09,4.0,Bank Transfer,iPhone,Yes,No
CUST1093,36,Male,Rawalpindi,Standard,68.48,17,22,9,24.0,2026-03-30,1.0,JazzCash,iPhone,No,No
CUST1094,25,Male,Faisalabad,Standard,58.96,16,21,8,11.0,2026-05-05,3.0,Debit Card,Android,No,No
CUST1095,49,Female,Quetta,Premium,84.45,21,34,5,25.0,2026-04-23,5.0,Credit Card,Web,No,No
CUST1096,40,Male,Karachi,Standard,32.2,35,57,0,13.0,2026-05-15,3.0,JazzCash,Android,Yes,No
CUST1097,60,Female,Karachi,Standard,32.61,15,19,7,16.0,2026-01-11,4.0,EasyPaisa,iPhone,Yes,No
CUST1098,33,Male,Karachi,Premium,103.4,35,52,2,26.0,2026-04-20,4.0,EasyPaisa,iPhone,Yes,No
CUST1099,61,Male,Quetta,Premium,,10,20,8,,2026-06-18,,EasyPaisa,Android,Yes,No
CUST1100,62,Female,Quetta,Basic,15.93,37,55,0,24.0,2026-04-21,4.0,JazzCash,Web,No,No
